rank,verbatim_factor,total_refs,transcripts,cross_case_factor,confidence,rationale
3999,inconvenient topography,1,1,Environmental,high,matched 'topography'
4000,incorrect water source identification,1,1,Service Performance,low,token-overlap fallback (29)
4001,independent operation of water schemes,1,1,Service Performance,low,token-overlap fallback (29)
4002,independent sector missions,1,1,Coordination,low,token-overlap fallback (3)
4003,indigenous community knowledge,1,1,Community / Users,high,matched 'community knowledge'
4004,indigenous knowledge,1,1,Coordination,low,token-overlap fallback (1)
4005,indigenous knowledge access,1,1,Service Performance,low,token-overlap fallback (7)
4006,indigenous tree planting near water points,1,1,Environmental,medium,'tree planting' over 'water point'
4007,indiscriminate waste dumping,1,1,Service Performance,low,token-overlap fallback (7)
4008,individual and company responsibility,1,1,Private Sector,high,matched 'company'
4009,individual compost production from waste,1,1,Service Performance,low,token-overlap fallback (6)
4010,individual connections from borehole,1,1,Infrastructure,high,matched 'borehole'
4011,individual hygiene,1,1,Community / Users,high,matched 'hygiene'
4012,individual landowner objections,1,1,Community / Users,low,no match — defaulted to Community / Users
4013,individual responsibility for sanitation,1,1,Service Performance,low,token-overlap fallback (10)
4014,individual sense of responsibility,1,1,Community Management,low,token-overlap fallback (2)
4015,individual water connections,1,1,Service Performance,low,token-overlap fallback (29)
4016,individual/private management model,1,1,Private Sector,low,token-overlap fallback (11)
4017,individualized household waste disposal,1,1,Community / Users,high,matched 'household'
4018,industrial and hotel liquid waste discharge,1,1,Service Performance,high,matched 'liquid waste'
4019,industrial and institutional expansion,1,1,Infrastructure,high,matched 'expansion'
4020,industrial borehole development,1,1,Infrastructure,high,matched 'borehole'
4021,industrial compliance with waste management laws,1,1,Service Performance,high,'waste management' over 'compliance'
4022,industrial discharge into rivers,1,1,Community / Users,low,no match — defaulted to Community / Users
4023,industrial effluent pollution,1,1,Environmental,high,matched 'pollution'
4024,industrial environmental pollution,1,1,Environmental,high,matched 'environmental'
4025,industrial financial contribution,1,1,Govt / External Finance,low,token-overlap fallback (8)
4026,industrial liquid waste discharge,1,1,Service Performance,high,matched 'liquid waste'
4027,industrial liquid waste treatment,1,1,Infrastructure,high,'waste treatment' over 'liquid waste'
4028,industrial participation in sanitation,1,1,Community Management,high,matched 'participation'
4029,industrial pollution,1,1,Environmental,high,matched 'pollution'
4030,industrial septic tanks and treatment plants,1,1,Infrastructure,high,matched 'treatment plant'
4031,industrial waste compliance,1,1,Laws + Regulations,high,matched 'compliance'
4032,industrial waste discharge,1,1,Service Performance,low,token-overlap fallback (6)
4033,industrial waste disposal,1,1,Community / Users,low,token-overlap fallback (11)
4034,industrial waste disposal practices,1,1,Community / Users,high,matched 'waste disposal practice'
4035,industrial waste management,1,1,Service Performance,high,matched 'waste management'
4036,industrial waste pollution,1,1,Environmental,high,matched 'pollution'
4037,industrial waste recycling and treatment,1,1,Service Performance,low,token-overlap fallback (7)
4038,industrial waste separation,1,1,Service Performance,low,token-overlap fallback (6)
4039,industrial waste treatment,1,1,Infrastructure,high,matched 'waste treatment'
4040,industrial water treatment plants,1,1,Service Performance,low,'water treatment' over 'treatment plant'
4041,industry and environmental impact management,1,1,Environmental,high,matched 'environmental'
4042,industry and investment expansion,1,1,Govt / External Finance,medium,'investment' over 'expansion'
4043,industry feedback from WASH forums,1,1,Coordination,high,matched 'wash forum'
4044,industry monitoring,1,1,Monitoring,high,matched 'monitoring'
4045,industry priority at disposal sites,1,1,Infrastructure,high,matched 'disposal site'
4046,industry waste compliance,1,1,Laws + Regulations,high,matched 'compliance'
4047,industry waste disposal standards enforcement,1,1,Laws + Regulations,high,matched 'enforcement'
4048,information about rainwater harvesting,1,1,Environmental,high,matched 'rainwater harvest'
4049,information dissemination from users to technical department,1,1,Community / Users,medium,matched 'users'
4050,information exchange on priority areas,1,1,Coordination,low,token-overlap fallback (1)
4051,information flow among stakeholders,1,1,Coordination,high,matched 'stakeholder'
4052,information flow to beneficiaries,1,1,Service Performance,low,token-overlap fallback (1)
4053,information gap between stakeholders,1,1,Coordination,high,matched 'stakeholder'
4054,information gaps,1,1,Coordination,low,token-overlap fallback (1)
4055,information gaps between woreda and zonal stakeholders,1,1,Coordination,high,'stakeholder' over 'woreda'
4056,information on water facility conditions,1,1,Infrastructure,high,matched 'facility'
4057,information recording and storing system,1,1,O&M,low,token-overlap fallback (2)
4058,information sharing among partners,1,1,Coordination,high,matched 'information sharing'
4059,information sharing between water officers and communities,1,1,Coordination,high,'information sharing' over 'officer'
4060,information sharing effectiveness,1,1,Coordination,high,matched 'information sharing'
4061,information sharing in procurement process,1,1,Coordination,high,'information sharing' over 'procurement'
4062,information sharing on project status,1,1,Coordination,high,matched 'information sharing'
4063,infrastructure adequacy,1,1,Infrastructure,high,matched 'infrastructure'
4064,infrastructure age,1,1,Infrastructure,high,matched 'infrastructure'
4065,infrastructure aging,1,1,Infrastructure,high,matched 'infrastructure'
4066,infrastructure and running costs,1,1,Infrastructure,medium,'infrastructure' over 'running cost'
4067,infrastructure care,1,1,Infrastructure,high,matched 'infrastructure'
4068,infrastructure care and maintenance,1,1,Infrastructure,high,'infrastructure' over 'maintenance'
4069,infrastructure costs,1,1,Infrastructure,high,matched 'infrastructure'
4070,infrastructure coverage,1,1,Infrastructure,high,'infrastructure' over 'coverage'
4071,infrastructure coverage in new neighborhoods,1,1,Infrastructure,high,'infrastructure' over 'coverage'
4072,infrastructure damage repair,1,1,Infrastructure,high,'infrastructure' over 'repair'
4073,infrastructure decay,1,1,Infrastructure,high,matched 'infrastructure'
4074,infrastructure development funding,1,1,Infrastructure,high,'infrastructure' over 'funding'
4075,infrastructure development in settlement areas,1,1,Infrastructure,high,'infrastructure' over 'settlement'
4076,infrastructure failure,1,1,Infrastructure,high,matched 'infrastructure'
4077,infrastructure improvement effectiveness,1,1,Infrastructure,high,matched 'infrastructure'
4078,infrastructure installation,1,1,Infrastructure,high,matched 'infrastructure'
4079,infrastructure installation cost,1,1,Infrastructure,high,matched 'infrastructure'
4080,infrastructure investment,1,1,Infrastructure,high,'infrastructure' over 'investment'
4081,infrastructure investment success,1,1,Infrastructure,high,'infrastructure' over 'investment'
4082,infrastructure longevity,1,1,Infrastructure,high,'infrastructure' over 'longevity'
4083,infrastructure maintenance commitment,1,1,Infrastructure,high,'infrastructure' over 'maintenance'
4084,infrastructure monitoring,1,1,Infrastructure,high,'infrastructure' over 'monitoring'
4085,infrastructure planning appropriateness,1,1,Infrastructure,high,'infrastructure' over 'planning'
4086,infrastructure project implementation,1,1,Infrastructure,high,matched 'project implementation'
4087,infrastructure project prioritization,1,1,Infrastructure,medium,'infrastructure' over 'prioritization'
4088,infrastructure project selection,1,1,Infrastructure,high,'infrastructure' over 'election'
4089,infrastructure repairs,1,1,Infrastructure,high,'infrastructure' over 'repair'
4090,infrastructure sabotage,1,1,Infrastructure,high,'infrastructure' over 'sabotage'
4091,infrastructure selection,1,1,Infrastructure,high,'infrastructure' over 'election'
4092,infrastructure servicing capacity,1,1,Infrastructure,high,'infrastructure' over 'servicing'
4093,infrastructure type selection,1,1,Infrastructure,high,'infrastructure' over 'election'
4094,infrastructure upgrade,1,1,Infrastructure,high,matched 'infrastructure'
4095,initial capital for recycling programs,1,1,Govt / External Finance,low,token-overlap fallback (1)
4096,innovative water management practices,1,1,Service Performance,low,token-overlap fallback (30)
4097,inspection and supervision system,1,1,Monitoring,high,matched 'supervision'
4098,institution self-supply development,1,1,Infrastructure,low,token-overlap fallback (4)
4099,institutional WASH condition at health facilities,1,1,Infrastructure,high,'facilities' over 'health'
4100,institutional WASH service,1,1,Service Performance,low,token-overlap fallback (17)
4101,institutional awareness of waste disposal consequences,1,1,Community / Users,high,matched 'awareness'
4102,institutional budget allocation,1,1,Govt / External Finance,high,matched 'budget'
4103,institutional commitment,1,1,Govt Management,low,token-overlap fallback (2)
4104,institutional compliance with waste regulations,1,1,Laws + Regulations,high,matched 'regulation'
4105,institutional consistency,1,1,Govt Management,low,token-overlap fallback (1)
4106,institutional coordination between county government and NGOs,1,1,Govt Management,medium,'government' over 'coordinat'
4107,institutional expansion,1,1,Infrastructure,high,matched 'expansion'
4108,institutional fragmentation,1,1,Govt Management,low,token-overlap fallback (1)
4109,institutional integration across sectors,1,1,Coordination,high,matched 'integration'
4110,institutional knowledge retention,1,1,Govt Management,high,matched 'retention'
4111,institutional memory retention,1,1,Govt Management,high,matched 'retention'
4112,institutional support for water utility,1,1,Govt Management,high,matched 'utility'
4113,institutional system,1,1,O&M,low,token-overlap fallback (2)
4114,institutional water points,1,1,Infrastructure,high,matched 'water point'
4115,insufficient community training,1,1,Community / Users,medium,'community' over 'training'
4116,insufficient water infrastructure,1,1,Infrastructure,high,matched 'infrastructure'
4117,insurance mechanism for water schemes,1,1,Service Performance,low,token-overlap fallback (29)
4118,integrated WASH committee effectiveness,1,1,Community Management,high,matched 'wash committee'
4119,integrated and coordinated efforts,1,1,Coordination,high,matched 'coordinat'
4120,integrated billing system for waste services,1,1,Community Finance,high,matched 'billing'
4121,integrated development,1,1,Infrastructure,low,token-overlap fallback (3)
4122,integrated functional adult literacy model,1,1,Service Performance,high,'functional' over 'literacy'
4123,integrated infrastructure development,1,1,Infrastructure,high,matched 'infrastructure'
4124,integrated multi-sector work,1,1,Coordination,high,matched 'multi-sector'
4125,integrated sanitation approach,1,1,Service Performance,low,token-overlap fallback (10)
4126,integrated strategic plan,1,1,Planning,high,matched 'strategic'
4127,integrated waste-water billing system,1,1,Community Finance,high,matched 'water bill'
4128,integrated water projects,1,1,Service Performance,low,token-overlap fallback (29)
4129,integration and coordination among kebele leadership,1,1,Coordination,medium,'integration' over 'leadership'
4130,integration into formal water sector,1,1,Coordination,high,matched 'integration'
4131,integration of sanitation activities and schedules,1,1,Coordination,high,matched 'integration'
4132,integration of training and infrastructure support,1,1,Infrastructure,high,'infrastructure' over 'integration'
4133,integration of water services with education and health,1,1,Service Performance,high,'water service' over 'integration'
4134,integration of water structures,1,1,Coordination,high,matched 'integration'
4135,inter-NGO coordination,1,1,Coordination,high,matched 'coordinat'
4136,inter-NGO partnerships,1,1,Coordination,high,matched 'partnership'
4137,inter-actor knowledge sharing,1,1,Coordination,high,matched 'knowledge sharing'
4138,inter-agency collaboration,1,1,Coordination,high,matched 'inter-agency'
4139,"inter-agency collaboration (health, municipality, water)",1,1,Coordination,high,'inter-agency' over 'municipal'
4140,inter-agency conflict,1,1,Coordination,high,matched 'inter-agency'
4141,inter-agency consultation,1,1,Coordination,high,matched 'inter-agency'
4142,inter-agency cooperation,1,1,Coordination,high,matched 'inter-agency'
4143,inter-agency coordinated planning,1,1,Coordination,high,'inter-agency' over 'planning'
4144,inter-agency coordination (municipality and kebele),1,1,Coordination,high,'inter-agency' over 'municipal'
4145,inter-agency implementation,1,1,Infrastructure,high,'implementation' over 'inter-agency'
4146,inter-agency material support,1,1,Coordination,high,matched 'inter-agency'
4147,inter-agency network strength,1,1,Coordination,high,matched 'inter-agency'
4148,inter-agency payment agreement,1,1,Coordination,high,'inter-agency' over 'payment'
4149,inter-agency task sharing,1,1,Coordination,high,matched 'inter-agency'
4150,inter-agency understanding,1,1,Coordination,high,matched 'inter-agency'
4151,inter-bureau collaboration,1,1,Coordination,high,matched 'collaborat'
4152,inter-bureau coordination,1,1,Coordination,high,matched 'coordinat'
4153,"inter-bureau synergy (health, education, women and children)",1,1,Community / Users,medium,'education' over 'synergy'
4154,inter-community disputes,1,1,Community / Users,high,matched 'community'
4155,inter-departmental coordination,1,1,Coordination,high,matched 'coordinat'
4156,inter-institutional sanitation training,1,1,Coordination,high,'inter-institutional' over 'training'
4157,inter-level coordination,1,1,Coordination,high,matched 'coordinat'
4158,inter-locality experience sharing,1,1,Coordination,high,matched 'experience sharing'
4159,inter-office coordination effectiveness,1,1,Coordination,high,matched 'inter-office'
4160,inter-office information sharing,1,1,Coordination,high,matched 'information sharing'
4161,inter-office support,1,1,Coordination,high,matched 'inter-office'
4162,inter-organizational communication,1,1,Coordination,high,matched 'inter-organiz'
4163,inter-organizational coordination at field level,1,1,Coordination,high,matched 'inter-organiz'
4164,inter-partner information sharing,1,1,Coordination,high,matched 'information sharing'
4165,inter-sector WASH coordination,1,1,Coordination,high,matched 'inter-sector'
4166,inter-sector collaboration,1,1,Coordination,high,matched 'inter-sector'
4167,inter-sector communication,1,1,Coordination,high,matched 'inter-sector'
4168,inter-sector coordination at woreda level,1,1,Coordination,high,'inter-sector' over 'woreda'
4169,inter-sector coordination effectiveness,1,1,Coordination,high,matched 'inter-sector'
4170,inter-sector learning,1,1,Coordination,high,matched 'inter-sector'
4171,inter-sector meetings,1,1,Coordination,high,matched 'inter-sector'
4172,inter-sector priority given to water and sanitation,1,1,Coordination,high,matched 'inter-sector'
4173,inter-sector relations,1,1,Coordination,high,matched 'inter-sector'
4174,inter-sector responsibility diffusion,1,1,Coordination,high,matched 'inter-sector'
4175,inter-sector stream committee,1,1,Coordination,high,'inter-sector' over 'committee'
4176,inter-sectoral coordination,1,1,Coordination,high,matched 'inter-sector'
4177,inter-sectoral coordination with public,1,1,Coordination,high,'inter-sector' over 'public'
4178,inter-town learning and experience exchange,1,1,Coordination,low,token-overlap fallback (8)
4179,interaction with national and county government and regulatory bodies,1,1,Govt Management,medium,'government' over 'regulatory'
4180,internal conflict in committee,1,1,Community Management,high,matched 'committee'
4181,internal financial controls,1,1,Govt / External Finance,low,token-overlap fallback (8)
4182,international and NGO funding,1,1,Govt / External Finance,high,'ngo funding' over 'ngo'
4183,internet and computer availability,1,1,Monitoring,low,token-overlap fallback (1)
4184,intersectoral coordination,1,1,Coordination,high,matched 'intersector'
4185,intervention planning,1,1,Planning,high,matched 'planning'
4186,intervention selection,1,1,Politics,high,matched 'election'
4187,intervention targeting,1,1,Govt Management,low,token-overlap fallback (1)
4188,intra-organizational coordination,1,1,Coordination,high,matched 'coordinat'
4189,investigation of project failures,1,1,Planning,low,token-overlap fallback (7)
4190,investment activity expansion,1,1,Govt / External Finance,medium,'investment' over 'expansion'
4191,investment and tourism,1,1,Govt / External Finance,high,matched 'investment'
4192,investment and tourism attraction,1,1,Govt / External Finance,high,matched 'investment'
4193,investment cost,1,1,Govt / External Finance,high,matched 'investment'
4194,investment impact,1,1,Govt / External Finance,high,matched 'investment'
4195,investment in sustainable water infrastructure,1,1,Infrastructure,high,'infrastructure' over 'investment'
4196,investment in well development,1,1,Govt / External Finance,high,'investment' over 'well'
4197,investor participation in WASH,1,1,Community Management,high,'participation' over 'investor'
4198,investor support,1,1,Private Sector,high,matched 'investor'
4199,investor water point construction,1,1,Infrastructure,high,'construction' over 'investor'
4200,involvement of health and education sectors in WASH,1,1,Community / Users,high,matched 'education'
4201,irrigation,1,1,Community / Users,high,matched 'irrigation'
4202,irrigation potential,1,1,Community / Users,high,matched 'irrigation'
4203,irrigation use of river water,1,1,Community / Users,high,'irrigation' over 'river'
4204,irrigation water supply,1,1,Service Performance,high,'water supply' over 'irrigation'
4205,joint NGO machinery sharing,1,1,Infrastructure,high,'machinery' over 'ngo'
4206,joint WASH planning,1,1,Planning,high,matched 'planning'
4207,joint activity planning among stakeholders,1,1,Coordination,high,'stakeholder' over 'planning'
4208,joint evaluation of WASH implementation,1,1,Infrastructure,high,'implementation' over 'evaluation'
4209,joint multi-sector awareness campaigns,1,1,Capacity Building,high,'awareness campaign' over 'multi-sector'
4210,joint partnership projects,1,1,Coordination,high,matched 'partnership'
4211,joint planning,1,1,Coordination,high,'joint planning' over 'planning'
4212,joint planning with partners,1,1,Coordination,high,'joint planning' over 'planning'
4213,joint sanitation operations,1,1,Service Performance,low,token-overlap fallback (10)
4214,joint sector planning,1,1,Planning,high,matched 'planning'
4215,joint sectoral action,1,1,Coordination,low,token-overlap fallback (2)
4216,kebele administration engagement in construction and management,1,1,Govt Management,medium,'administration' over 'construction'
4217,kebele and village bylaws,1,1,Community / Users,low,no match — defaulted to Community / Users
4218,kebele budget,1,1,Govt / External Finance,high,matched 'budget'
4219,kebele leadership accountability,1,1,Govt Management,medium,'leadership' over 'accountab'
4220,kebele monitoring,1,1,Monitoring,high,matched 'monitoring'
4221,kebele representative and city administration coordination,1,1,Govt Management,high,'city administration' over 'coordinat'
4222,kebele representative coordination with learning alliance,1,1,Coordination,high,matched 'learning alliance'
4223,kebele revenue collection,1,1,Community Finance,high,matched 'revenue collection'
4224,kebele stakeholder capacity,1,1,Coordination,high,matched 'stakeholder'
4225,kebele waste collection coverage,1,1,Service Performance,high,matched 'waste collect'
4226,khat addiction,1,1,Community / Users,low,no match — defaulted to Community / Users
4227,kiosk revenue remittance to committee,1,1,Community Management,high,'committee' over 'revenue'
4228,knowledge and experience sharing,1,1,Coordination,high,matched 'experience sharing'
4229,knowledge and resource sharing,1,1,Coordination,low,token-overlap fallback (5)
4230,knowledge of county WASH investments,1,1,Govt / External Finance,high,matched 'investment'
4231,knowledge of harm and benefit,1,1,Coordination,low,token-overlap fallback (1)
4232,knowledge of non-functional water schemes,1,1,Service Performance,high,matched 'non-functional'
4233,knowledge of riparian areas,1,1,Coordination,low,token-overlap fallback (1)
4234,knowledge of stakeholder locations and activities,1,1,Coordination,high,matched 'stakeholder'
4235,knowledge of stakeholder plans and activities,1,1,Coordination,high,matched 'stakeholder'
4236,knowledge of unserved areas,1,1,Coordination,low,token-overlap fallback (1)
4237,knowledge of water source and service area,1,1,Service Performance,low,token-overlap fallback (46)
4238,knowledge on rural water scheme management,1,1,O&M,high,matched 'water scheme management'
4239,knowledge-practice gap,1,1,Community / Users,low,token-overlap fallback (2)
4240,knowledgeable MCAs,1,1,Community / Users,low,no match — defaulted to Community / Users
4241,labor division among institutions,1,1,Community Management,low,token-overlap fallback (1)
4242,laboratory access,1,1,Service Performance,low,token-overlap fallback (7)
4243,lack of commitment from WASH coordination office and finance bureau,1,1,Coordination,medium,'coordinat' over 'finance'
4244,lack of coordination,1,1,Coordination,high,matched 'coordinat'
4245,lack of electricity at facilities,1,1,Infrastructure,high,matched 'electricity'
4246,lack of expertise,1,1,Govt Management,high,matched 'expert'
4247,lack of inter-NGO coordination,1,1,Coordination,high,matched 'coordinat'
4248,lack of maintenance,1,1,O&M,high,matched 'maintenance'
4249,lack of ownership,1,1,Community Management,high,matched 'ownership'
4250,lack of precautionary measures,1,1,Community / Users,low,no match — defaulted to Community / Users
4251,lack of trust,1,1,Community / Users,low,token-overlap fallback (1)
4252,land acquisition for public latrines,1,1,Laws + Regulations,high,'land acquisition' over 'latrine'
4253,land acquisition issues,1,1,Laws + Regulations,high,matched 'land acquisition'
4254,land agreement registration with government offices,1,1,Govt Management,high,matched 'government'
4255,land allocation for liquid disposal infrastructure,1,1,Infrastructure,low,'infrastructure' over 'land allocation'
4256,land allocation for waste enterprises,1,1,Laws + Regulations,high,'land allocation' over 'enterprise'
4257,land availability,1,1,Laws + Regulations,low,token-overlap fallback (6)
4258,land compensation for dumping site,1,1,Infrastructure,high,matched 'dumping site'
4259,land compensation payment,1,1,Community Finance,high,matched 'payment'
4260,land compensation to farmers,1,1,Community / Users,high,matched 'farmer'
4261,land contract renewal,1,1,Laws + Regulations,low,token-overlap fallback (6)
4262,land dispute resolution,1,1,Laws + Regulations,high,matched 'land dispute'
4263,land donation guidelines,1,1,Laws + Regulations,high,matched 'guideline'
4264,land owner compensation process,1,1,Laws + Regulations,low,token-overlap fallback (7)
4265,land ownership clarity,1,1,Laws + Regulations,high,'land ownership' over 'ownership'
4266,land use in upper catchment areas,1,1,Environmental,high,matched 'catchment'
4267,land use regulation enforcement,1,1,Laws + Regulations,high,matched 'enforcement'
4268,landfill construction,1,1,Infrastructure,high,matched 'construction'
4269,landfill site and additional waste trucks,1,1,Infrastructure,high,matched 'landfill'
4270,landfill site availability,1,1,Infrastructure,high,matched 'landfill'
4271,landfill site preparation,1,1,Infrastructure,high,matched 'landfill'
4272,large establishment compliance with drainage service,1,1,Laws + Regulations,medium,'compliance' over 'drainage'
4273,large infrastructure construction,1,1,Infrastructure,high,matched 'infrastructure'
4274,large water tanks,1,1,Service Performance,low,token-overlap fallback (29)
4275,large-scale water scheme maintenance,1,1,O&M,high,matched 'maintenance'
4276,last mile connectivity project,1,1,Planning,low,token-overlap fallback (7)
4277,latrine and handwashing services,1,1,Infrastructure,high,matched 'latrine'
4278,latrine conditions,1,1,Infrastructure,high,matched 'latrine'
4279,latrine construction material quality,1,1,Infrastructure,high,matched 'construction'
4280,latrine contamination,1,1,Community / Users,high,'contaminat' over 'latrine'
4281,latrine emptying affordability,1,1,Community Finance,medium,'affordab' over 'latrine'
4282,latrine emptying service cost,1,1,O&M,high,'service cost' over 'latrine'
4283,latrine facility damage,1,1,Infrastructure,high,matched 'facility'
4284,latrine fence,1,1,Infrastructure,high,matched 'latrine'
4285,latrine hygiene practices,1,1,Infrastructure,medium,'latrine' over 'hygiene'
4286,latrine leadership quality,1,1,Govt Management,high,'leadership' over 'latrine'
4287,latrine location,1,1,Infrastructure,high,matched 'latrine'
4288,latrine maintenance capacity,1,1,O&M,high,'maintenance' over 'latrine'
4289,latrine management system,1,1,Infrastructure,high,matched 'latrine'
4290,latrine mismanagement,1,1,Govt Management,medium,'mismanage' over 'latrine'
4291,latrine operational sustainability,1,1,Sustainability,high,'sustainab' over 'latrine'
4292,latrine pumping,1,1,Infrastructure,high,matched 'latrine'
4293,latrine pumping services,1,1,Infrastructure,high,matched 'latrine'
4294,latrine sanitation service,1,1,Service Performance,high,'sanitation service' over 'latrine'
4295,latrine service sustainability,1,1,Sustainability,high,'service sustainability' over 'latrine'
4296,latrine sustainability,1,1,Sustainability,high,'sustainab' over 'latrine'
4297,latrine sustainability in rainy season,1,1,Sustainability,high,'sustainab' over 'latrine'
4298,latrine upgrade,1,1,Infrastructure,high,matched 'latrine'
4299,latrine use,1,1,Infrastructure,high,matched 'latrine'
4300,latrine use and handwashing practices,1,1,Infrastructure,high,matched 'latrine'
4301,latrine user fee,1,1,Community Finance,medium,'user fee' over 'latrine'
4302,latrine utilization,1,1,Infrastructure,high,matched 'latrine'
4303,latrine waste discharge into drainage,1,1,Infrastructure,high,matched 'drainage'
4304,latrine waste disposal,1,1,Infrastructure,high,matched 'latrine'
4305,latrine waste management,1,1,Service Performance,high,'waste management' over 'latrine'
4306,latrine water and handwashing facilities,1,1,Infrastructure,high,matched 'facilities'
4307,latrine-managing committee activity,1,1,Community Management,medium,'committee' over 'latrine'
4308,laundry wastewater management,1,1,O&M,low,token-overlap fallback (6)
4309,laundry wastewater on streets,1,1,Community / Users,low,no match — defaulted to Community / Users
4310,law and enforcement on polluting institutions,1,1,Laws + Regulations,high,'enforcement' over 'pollut'
4311,law enforcement,1,1,Laws + Regulations,high,matched 'enforcement'
4312,laws enforcing water scheme maintenance,1,1,O&M,high,'maintenance' over 'laws'
4313,leader role modeling,1,1,Govt Management,low,token-overlap fallback (1)
4314,leadership accountability,1,1,Govt Management,medium,'leadership' over 'accountab'
4315,leadership and professional capacity,1,1,Govt Management,high,matched 'professional'
4316,leadership awareness creation platform,1,1,Capacity Building,high,'awareness creation' over 'leadership'
4317,leadership change,1,1,Govt Management,high,matched 'leadership'
4318,leadership commitment,1,1,Govt Management,high,matched 'leadership'
4319,leadership involvement in sanitation coordination,1,1,Govt Management,medium,'leadership' over 'coordinat'
4320,leadership motivation,1,1,Govt Management,high,matched 'leadership'
4321,leadership prioritization of sanitation,1,1,Planning,high,'prioritization' over 'leadership'
4322,leadership skills,1,1,Govt Management,high,matched 'leadership'
4323,leadership succession,1,1,Govt Management,high,matched 'leadership'
4324,learning alliance support for sanitation improvement,1,1,Service Performance,medium,'sanitation improv' over 'learning alliance'
4325,learning and experience sharing platforms,1,1,Coordination,high,matched 'experience sharing'
4326,learning institution partnerships,1,1,Coordination,high,matched 'partnership'
4327,leather industry chemical discharge,1,1,Community / Users,low,no match — defaulted to Community / Users
4328,legal accountability for scheme management,1,1,O&M,high,'scheme management' over 'accountab'
4329,legal authority to penalize committees,1,1,Community Management,high,'committee' over 'legal'
4330,legal enforcement,1,1,Laws + Regulations,high,matched 'enforcement'
4331,legal enforcement mechanisms,1,1,Laws + Regulations,high,matched 'enforcement'
4332,legal framework for environmental protection,1,1,Environmental,high,'environmental' over 'legal'
4333,legal framework for waste management,1,1,Service Performance,high,'waste management' over 'legal'
4334,legal framework for water schemes,1,1,Laws + Regulations,medium,matched 'legal'
4335,legal framework on sewage treatment,1,1,Laws + Regulations,medium,matched 'legal'
4336,legal instruments for fund misappropriation,1,1,Govt / External Finance,high,'fund misappropriat' over 'legal'
4337,legal measures and penalties,1,1,Laws + Regulations,high,matched 'penalt'
4338,legal penalty for fund mismanagement,1,1,Govt / External Finance,high,'fund mismanage' over 'mismanage'
4339,legal regulation of hotel waste,1,1,Laws + Regulations,high,matched 'regulation'
4340,legal site ownership,1,1,Community Management,high,'ownership' over 'legal'
4341,legal status of committees,1,1,Community Management,high,'committee' over 'legal'
4342,legal waste dumping site,1,1,Infrastructure,high,'dumping site' over 'legal'
4343,legal/regulatory framework,1,1,Laws + Regulations,high,matched 'regulatory'
4344,lessons from experienced organizations,1,1,Community / Users,low,no match — defaulted to Community / Users
4345,licensing sector enforcement,1,1,Laws + Regulations,high,matched 'enforcement'
4346,limited budget,1,1,Govt / External Finance,high,matched 'budget'
4347,limited mandate of WASH coordination office,1,1,Coordination,high,'coordinat' over 'mandate'
4348,limited road access,1,1,Infrastructure,medium,matched 'road'
4349,linkage with existing project actors in area,1,1,Planning,low,token-overlap fallback (7)
4350,linkage with maintenance service providers,1,1,Private Sector,high,'service provider' over 'maintenance'
4351,links to quality repair and maintenance service providers,1,1,Private Sector,high,'service provider' over 'maintenance'
4352,liquid sanitation system adequacy,1,1,Service Performance,low,token-overlap fallback (12)
4353,liquid waste accumulation,1,1,Service Performance,high,matched 'liquid waste'
4354,liquid waste and pit emptying service,1,1,Service Performance,high,matched 'liquid waste'
4355,liquid waste collection and disposal,1,1,Service Performance,high,matched 'waste collect'
4356,liquid waste collection services,1,1,Service Performance,high,matched 'waste collection service'
4357,liquid waste contamination,1,1,Service Performance,high,'liquid waste' over 'contaminat'
4358,liquid waste discharge to drainage,1,1,Service Performance,high,'liquid waste' over 'drainage'
4359,liquid waste disposal adequacy,1,1,Service Performance,high,matched 'liquid waste'
4360,liquid waste disposal methods,1,1,Service Performance,high,matched 'liquid waste'
4361,liquid waste disposal site,1,1,Infrastructure,medium,'disposal site' over 'liquid waste'
4362,liquid waste disposal site functionality,1,1,Service Performance,low,'functionality' over 'disposal site'
4363,liquid waste disposal site preparation,1,1,Infrastructure,medium,'disposal site' over 'liquid waste'
4364,liquid waste dump site,1,1,Service Performance,high,'liquid waste' over 'dump site'
4365,liquid waste dump site availability,1,1,Service Performance,high,'liquid waste' over 'dump site'
4366,liquid waste dump site relocation,1,1,Service Performance,high,'liquid waste' over 'dump site'
4367,liquid waste evaporation,1,1,Service Performance,high,matched 'liquid waste'
4368,liquid waste filtering schemes,1,1,Service Performance,high,matched 'liquid waste'
4369,liquid waste flooding,1,1,Service Performance,high,'liquid waste' over 'flooding'
4370,liquid waste flooding of residential houses,1,1,Service Performance,high,'liquid waste' over 'flooding'
4371,liquid waste generation,1,1,Service Performance,high,matched 'liquid waste'
4372,liquid waste ground absorption,1,1,Service Performance,high,matched 'liquid waste'
4373,liquid waste in open ditches,1,1,Service Performance,high,matched 'liquid waste'
4374,liquid waste infrastructure suitability,1,1,Infrastructure,medium,'infrastructure' over 'liquid waste'
4375,liquid waste overflow,1,1,Service Performance,high,matched 'liquid waste'
4376,liquid waste processing,1,1,Service Performance,high,matched 'liquid waste'
4377,liquid waste river pollution,1,1,Service Performance,high,'liquid waste' over 'pollution'
4378,liquid waste system effectiveness,1,1,Service Performance,high,matched 'liquid waste'
