factor,bucket,confidence,rationale,total_refs
dependency mindset,Community / Users,low,no match — defaulted to Community / Users,1
desalination cost,O&M,low,token-overlap fallback (8),1
desalination equipment running costs,O&M,high,'running cost' over 'equipment',1
desalination technology,Infrastructure,high,matched 'technology',1
desalinization,Community / Users,low,no match — defaulted to Community / Users,1
desert climate/lowland,Environmental,high,matched 'climate',1
desertification,Community / Users,low,no match — defaulted to Community / Users,1
design approval by county directorate,Planning,high,matched 'design',1
design approval by directorate of water,Planning,high,matched 'design',1
design quality,Planning,high,matched 'design',1
designated communal solid waste disposal area,Service Performance,high,'solid waste' over 'design',1
designated communal waste disposal area,Planning,high,matched 'design',1
designated dumping sites,Infrastructure,high,'dumping site' over 'design',1
designer consultation with local people,Planning,high,matched 'design',1
desired sanitation results,Service Performance,low,token-overlap fallback (10),1
detailed implementation directives and manuals,Infrastructure,high,'implementation' over 'directive',1
detailed investigation of soil and water table,Environmental,high,matched 'water table',1
determined and visionary leaders,Govt Management,low,token-overlap fallback (1),1
developer investment costs,Govt / External Finance,high,matched 'investment',1
dialogue meetings with technical and political leaders,Politics,high,matched 'politic',1
dialogue with development partners,Coordination,high,matched 'development partner',1
diesel and electricity dependency,Infrastructure,high,matched 'electricity',1
diesel dependency,Community / Users,low,no match — defaulted to Community / Users,1
diesel fuel cost,O&M,high,matched 'fuel cost',1
diesel fuel costs,O&M,high,matched 'fuel cost',1
diesel fuel procurement delays,Private Sector,high,matched 'procurement',1
diesel generator operating cost,O&M,high,'operating cost' over 'generator',1
diesel generator use for pumping,Infrastructure,high,matched 'generator',1
diesel generator-based water schemes,Infrastructure,high,matched 'generator',1
diesel generators,Infrastructure,high,matched 'generator',1
diesel to solar transition,Infrastructure,medium,matched 'solar',1
diesel-based water scheme maintenance requirements,O&M,high,matched 'maintenance',1
diesel-operated boreholes,Infrastructure,high,matched 'borehole',1
diesel-powered facilities,Infrastructure,high,matched 'facilities',1
diesel/electricity powered systems,Infrastructure,high,matched 'electricity',1
diesel/genset energy,Infrastructure,low,token-overlap fallback (2),1
difficult climate conditions and rural environment,Environmental,high,matched 'environment',1
difficult terrain,Environmental,high,matched 'terrain',1
dignity of school girls,Community / Users,high,matched 'school',1
direct budget allocation to board,Govt / External Finance,high,matched 'budget',1
direct cash collection,Community Finance,low,token-overlap fallback (2),1
direct disposal of liquid waste into rivers,Service Performance,high,matched 'liquid waste',1
direct funding to Fundifix,Govt / External Finance,high,matched 'funding',1
direct organizational management of boreholes,Infrastructure,high,matched 'borehole',1
direct pipeline connection,Infrastructure,high,matched 'pipeline',1
direct requests to county headquarters,Govt Management,low,token-overlap fallback (3),1
dirty water,Service Performance,low,token-overlap fallback (29),1
disease,Community / Users,high,matched 'disease',1
disease awareness,Community / Users,high,matched 'awareness',1
disease burden,Community / Users,high,matched 'disease',1
disease management,Community / Users,high,matched 'disease',1
disease risk,Community / Users,high,matched 'disease',1
disease transmission,Community / Users,high,matched 'disease',1
disinfectant supply,Service Performance,low,token-overlap fallback (1),1
disposal site construction,Infrastructure,high,matched 'disposal site',1
disposal site development,Infrastructure,high,matched 'disposal site',1
distance between WASH woredas,Govt Management,high,matched 'woreda',1
distance of dumping site,Infrastructure,high,matched 'dumping site',1
distance to disposal area,Community / Users,low,token-overlap fallback (7),1
distance to water for communities,Service Performance,low,token-overlap fallback (29),1
distance to water sources,Service Performance,low,token-overlap fallback (29),1
distance traveled for water,Service Performance,low,token-overlap fallback (29),1
distance traveled to collect water,Service Performance,low,token-overlap fallback (31),1
distant water source,Service Performance,low,token-overlap fallback (29),1
distribution system breakdown,Service Performance,high,matched 'breakdown',1
distribution system installation,Infrastructure,high,matched 'installation',1
distribution system monitoring,Monitoring,high,matched 'monitoring',1
district contracting flexibility,Govt Management,high,matched 'district',1
district leader authority,Govt Management,high,matched 'district',1
district local government support for WSC,Govt / External Finance,high,'government support' over 'government',1
district program uniformity,Govt Management,high,matched 'district',1
district-Whave maintenance contract,O&M,high,'maintenance' over 'district',1
district-community engagement,Community Management,high,'community engagement' over 'community',1
district-wide service coverage,Service Performance,high,'service coverage' over 'district',1
ditch blockage,Community / Users,low,no match — defaulted to Community / Users,1
diverse community management,Community Management,high,'community management' over 'community',1
division of labor among WASH stakeholders,Coordination,high,matched 'stakeholder',1
division of responsibilities among WASH stakeholders,Coordination,high,matched 'stakeholder',1
documentation compliance,Laws + Regulations,high,matched 'compliance',1
documentation of past projects,Community / Users,low,no match — defaulted to Community / Users,1
documented data system,Monitoring,medium,matched 'data',1
documented water service problem areas,Service Performance,high,matched 'water service',1
domestic use of saline boreholes,Infrastructure,high,matched 'borehole',1
donor and NGO support,Govt / External Finance,high,'ngo support' over 'ngo',1
donor and collaborator mobilization,Coordination,high,'collaborat' over 'mobiliz',1
donor and loan support,Govt / External Finance,medium,matched 'donor',1
donor and stakeholder funding,Coordination,high,'stakeholder' over 'funding',1
donor disengagement,Govt / External Finance,medium,matched 'donor',1
donor funding attractiveness,Govt / External Finance,high,matched 'funding',1
donor funding mobilization,Govt / External Finance,low,'funding' over 'mobiliz',1
donor project priorities,Govt / External Finance,medium,matched 'donor',1
donor support,Govt / External Finance,medium,matched 'donor',1
donor support for water containers,Govt / External Finance,medium,matched 'donor',1
donor targeting for uncovered areas,Govt / External Finance,medium,matched 'donor',1
donor-NGO partnerships,Coordination,high,'partnership' over 'donor',1
donor-based NGO funding,Govt / External Finance,high,'ngo funding' over 'ngo',1
donor-constructed water schemes,Govt / External Finance,medium,matched 'donor',1
donor/government establishment of water sources,Govt Management,high,'government' over 'donor',1
donor/partner engagement,Coordination,high,'partner engagement' over 'donor',1
door-to-door awareness training coverage,Service Performance,low,'coverage' over 'awareness',1
door-to-door garbage collection enterprises,Private Sector,high,matched 'enterprise',1
downstream community health,Community / Users,high,matched 'community',1
drainage and sewerage line development,Infrastructure,high,matched 'sewerage',1
drainage and sewerage system,Infrastructure,high,matched 'sewerage',1
drainage connectivity between latrines,Infrastructure,high,matched 'drainage',1
drainage contamination,Community / Users,medium,'contaminat' over 'drainage',1
drainage leakage,Infrastructure,high,matched 'drainage',1
drainage line connection violations,Infrastructure,high,matched 'drainage',1
drainage system contamination,Community / Users,medium,'contaminat' over 'drainage',1
drainage system integrity,Infrastructure,high,matched 'drainage',1
drainage system organization,Infrastructure,high,matched 'drainage',1
drinking water access,Service Performance,high,matched 'drinking water',1
drinking water and irrigation safety,Service Performance,high,'drinking water' over 'irrigation',1
drinking water contamination,Service Performance,high,'water contaminat' over 'contaminat',1
drinking water safety,Service Performance,high,matched 'drinking water',1
drought and failed rains,Environmental,high,matched 'drought',1
drought resilience,Environmental,high,matched 'drought',1
drought response,Environmental,high,matched 'drought',1
dry climate,Environmental,high,matched 'climate',1
dry season sewage suction,Environmental,high,matched 'dry season',1
dry season suctioning,Environmental,high,matched 'dry season',1
dry season water availability,Service Performance,high,'water availab' over 'dry season',1
dry season water supply,Service Performance,high,'water supply' over 'dry season',1
dry seasons,Environmental,high,matched 'dry season',1
dry/sunny seasons,Community / Users,low,no match — defaulted to Community / Users,1
dual pumping systems requirement,Community / Users,low,no match — defaulted to Community / Users,1
dump site fencing,Infrastructure,high,matched 'dump site',1
dump site financing,Infrastructure,medium,'dump site' over 'financing',1
dump site overflow,Infrastructure,high,matched 'dump site',1
dump site project continuation,Infrastructure,high,matched 'dump site',1
dumping site conditions,Infrastructure,high,matched 'dumping site',1
dumping site distance from town,Infrastructure,high,matched 'dumping site',1
dumping site operation,Infrastructure,high,matched 'dumping site',1
duplication of NGO efforts,Coordination,high,matched 'duplication',1
duplication of aid efforts,Coordination,high,'duplication' over 'aid',1
duplication of maintenance efforts,O&M,medium,'maintenance' over 'duplication',1
duplication of reporting efforts,Coordination,high,'duplication' over 'reporting',1
dustbin placement,Community / Users,low,no match — defaulted to Community / Users,1
early identification of at-risk facilities,Infrastructure,high,matched 'facilities',1
early intervention before breakdowns,Service Performance,high,matched 'breakdown',1
early meter reading and billing,Community Finance,high,matched 'billing',1
early problem intervention,Service Performance,low,token-overlap fallback (1),1
early warning system,O&M,low,token-overlap fallback (2),1
earth dam,Infrastructure,medium,matched 'dam',1
earth dam maintenance,O&M,high,'maintenance' over 'dam',1
earth dam recharge,Infrastructure,medium,matched 'dam',1
earth dam silting,Infrastructure,medium,matched 'dam',1
earth dam viability,Infrastructure,medium,matched 'dam',1
economic activity,Private Sector,high,matched 'economic',1
economic poverty,Private Sector,medium,'economic' over 'poverty',1
economic status,Private Sector,high,matched 'economic',1
economic transformation,Private Sector,high,matched 'economic',1
economical water use,Private Sector,high,matched 'economic',1
educated adults' opposition,Community / Users,low,no match — defaulted to Community / Users,1
education and awareness,Community / Users,high,matched 'awareness',1
education and continuous awareness creation,Capacity Building,high,'awareness creation' over 'awareness',1
education and health infrastructure,Infrastructure,high,'infrastructure' over 'education',1
education and health services,Community / Users,high,matched 'education',1
education level,Community / Users,high,matched 'education',1
education office capacity,Govt Management,high,'office capacity' over 'education',1
education on environmental protection and sanitation,Environmental,high,'environmental' over 'education',1
education on sanitation effects,Community / Users,high,matched 'education',1
education service delivery,Service Performance,high,'service deliver' over 'education',1
education-practice mismatch,Community / Users,high,matched 'education',1
educational outcomes,Community / Users,high,matched 'education',1
educational sector involvement,Community / Users,high,matched 'education',1
educational sector research and community service,Community / Users,high,matched 'community',1
effective coordinated plans and activities,Coordination,high,matched 'coordinat',1
effective coordination,Coordination,high,matched 'coordinat',1
effective maintenance budget,O&M,high,'maintenance' over 'budget',1
effective management structures,O&M,low,token-overlap fallback (6),1
effective planning,Planning,high,matched 'planning',1
effective resource allocation,Govt / External Finance,high,matched 'resource allocation',1
effective sanitation governance,Govt Management,high,matched 'governance',1
effective scheme management,O&M,high,matched 'scheme management',1
effective urban service delivery,Service Performance,high,matched 'service deliver',1
effective utilization of resources,Community / Users,low,token-overlap fallback (2),1
effective waste management,Service Performance,high,matched 'waste management',1
effective water office management,Service Performance,low,token-overlap fallback (30),1
effective water resource management,Environmental,high,matched 'water resource',1
effectiveness of water policies and plans,Laws + Regulations,high,matched 'policies',1
efficiency of WASH service delivery,Service Performance,high,matched 'service deliver',1
efficient budget utilization,Govt / External Finance,high,matched 'budget',1
efficient fund use,Govt / External Finance,low,token-overlap fallback (11),1
efficient management of rural water sources,Service Performance,low,token-overlap fallback (30),1
efficient water source utilization,Service Performance,low,token-overlap fallback (29),1
efficient water utilization,Service Performance,low,token-overlap fallback (29),1
effort for internal repairs and maintenance,O&M,high,matched 'maintenance',1
electric grid-based water schemes,Service Performance,low,token-overlap fallback (29),1
electric power infrastructure,Infrastructure,high,matched 'infrastructure',1
electric power outage,Infrastructure,high,matched 'power outage',1
electricity and diesel costs,Infrastructure,high,matched 'electricity',1
electricity and telecommunication infrastructure,Infrastructure,high,matched 'infrastructure',1
electricity grid connection,Infrastructure,high,matched 'electricity',1
electricity infrastructure expansion,Infrastructure,high,matched 'infrastructure',1
electricity management,Infrastructure,high,matched 'electricity',1
electricity office responsiveness,Infrastructure,high,matched 'electricity',1
electricity service reliability,Service Performance,high,'service reliab' over 'electricity',1
electricity supply,Infrastructure,high,matched 'electricity',1
electricity-dependent technology,Infrastructure,high,matched 'electricity',1
electronic data management,Monitoring,high,matched 'data management',1
electronic device availability,Monitoring,low,token-overlap fallback (1),1
emergency infrastructure repairs,Infrastructure,high,'infrastructure' over 'repair',1
emergency maintenance fund,O&M,high,matched 'maintenance',1
emergency repair savings,Community Finance,medium,'savings' over 'repair',1
emergency repairs,O&M,high,matched 'repair',1
emergency response capacity,Capacity Building,low,token-overlap fallback (7),1
emergency taskforce,Community / Users,low,no match — defaulted to Community / Users,1
emergency warning and water access,Service Performance,high,matched 'water access',1
emergency water trucking,Service Performance,low,token-overlap fallback (29),1
emergency-driven project implementation,Infrastructure,high,matched 'project implementation',1
employee capacity,Govt Management,high,matched 'employee',1
employee capacity building,Capacity Building,high,'capacity build' over 'employee',1
employee incentives,Govt Management,high,matched 'incentive',1
employee incentives and recognition,Govt Management,high,matched 'incentive',1
encroachment of water sources,Service Performance,low,token-overlap fallback (29),1
energy generation,Infrastructure,low,token-overlap fallback (2),1
enforcement mechanism for waste disposal,Laws + Regulations,high,matched 'enforcement',1
enforcement mechanisms for fund transfer,Laws + Regulations,high,matched 'enforcement',1
enforcement of open defecation penalties,Community / Users,high,'open defecation' over 'enforcement',1
enforcement of sanitation laws,Laws + Regulations,high,matched 'enforcement',1
enforcement of sanitation regulations,Laws + Regulations,high,matched 'enforcement',1
enforcement of street littering,Laws + Regulations,medium,'enforcement' over 'littering',1
enforcement without prior awareness,Laws + Regulations,medium,'enforcement' over 'awareness',1
engagement with Water User Committees,Community Management,high,'water user committee' over 'user',1
enterprise engagement in street cleaning,Private Sector,high,matched 'enterprise',1
enterprise involvement in latrine services,Private Sector,medium,'enterprise' over 'latrine',1
"enterprise support (carts, budget, credit)",Private Sector,high,'enterprise' over 'budget',1
enterprise viability,Private Sector,high,matched 'enterprise',1
environmental and climate fluctuation,Environmental,high,matched 'environmental',1
environmental conservation and rehabilitation,Environmental,medium,'environmental' over 'rehabilitat',1
environmental conservation awareness,Environmental,high,'environmental' over 'awareness',1
environmental degradation,Environmental,high,matched 'environmental',1
environmental harm,Environmental,high,matched 'environmental',1
environmental impact assessment,Environmental,high,'environmental' over 'assessment',1
environmental impact assessment for investments,Environmental,high,'environmental' over 'investment',1
environmental integration in WASH interventions,Environmental,high,'environmental' over 'integration',1
environmental law compliance,Environmental,high,'environmental' over 'compliance',1
environmental monitoring capacity,Environmental,high,'environmental' over 'monitoring',1
environmental protection and maintenance,Environmental,medium,'environmental' over 'maintenance',1
environmental quality,Environmental,high,matched 'environmental',1
environmental regulation enforcement,Environmental,high,'environmental' over 'enforcement',1
environmental regulatory monitoring,Environmental,high,'environmental' over 'monitoring',1
environmental research priority setting,Environmental,high,matched 'environmental',1
environmental sanitation problems,Service Performance,high,'sanitation problem' over 'environmental',1
epidemics,Community / Users,high,matched 'epidemic',1
equipment and spare parts,O&M,medium,'spare part' over 'equipment',1
equipment and spare parts availability,O&M,medium,'spare part' over 'equipment',1
equipment breakdown,Service Performance,low,'breakdown' over 'equipment',1
equipment breakdowns,Service Performance,low,'breakdown' over 'equipment',1
equipment damage,Infrastructure,high,matched 'equipment',1
equipment replacement capacity,Infrastructure,high,matched 'equipment',1
equitable access to potable water,Service Performance,high,matched 'potable water',1
equitable access to preventive maintenance,O&M,high,matched 'maintenance',1
equitable budget allocation from regional government,Govt Management,high,'government' over 'budget',1
equitable community water supply,Service Performance,high,'water supply' over 'community',1
equitable distribution of sanitation infrastructure,Infrastructure,high,matched 'infrastructure',1
equitable geographic distribution of funds,Environmental,high,matched 'geograph',1
equitable service coverage,Service Performance,high,matched 'service coverage',1
equitable service distribution,Service Performance,low,token-overlap fallback (17),1
equitable waste management,Service Performance,high,matched 'waste management',1
equitable water resource distribution,Environmental,high,matched 'water resource',1
equitable water service,Service Performance,high,matched 'water service',1
equitable water service distribution,Service Performance,high,matched 'water service',1
equitable water sharing,Service Performance,low,token-overlap fallback (29),1
equity in resource allocation,Govt / External Finance,high,matched 'resource allocation',1
establishment of basic sanitation and health facilities,Infrastructure,high,'facilities' over 'health',1
establishment of new water facilities,Infrastructure,high,matched 'facilities',1
establishment of new water sources,Service Performance,low,token-overlap fallback (29),1
ethical standards of contractors,Private Sector,medium,'contractor' over 'standard',1
evaporation water losses,Service Performance,low,token-overlap fallback (29),1
evidence-based action,Community Management,low,token-overlap fallback (2),1
evidence-based planning,Planning,high,matched 'planning',1
excess resource expenditure,Govt / External Finance,low,token-overlap fallback (5),1
excessive salt and fluoride content,Community / Users,low,no match — defaulted to Community / Users,1
exchange of ideas on interventions,Community / Users,low,no match — defaulted to Community / Users,1
execution of planned water works,Service Performance,low,token-overlap fallback (29),1
existing water scheme adequacy,Service Performance,low,token-overlap fallback (30),1
exit strategy after construction,Infrastructure,high,'construction' over 'strategy',1
expansion of residential structures,Infrastructure,medium,'expansion' over 'resident',1
expansion of water services to sub counties,Service Performance,high,'water service' over 'expansion',1
expansion to unserved areas,Infrastructure,high,matched 'expansion',1
expectation-setting discussion with community,Community / Users,high,matched 'community',1
expenditure on treating preventable diseases,Community / Users,high,matched 'disease',1
expensive component repair funding,Govt / External Finance,low,'funding' over 'repair',1
experience sharing by senior technicians,Coordination,high,'experience sharing' over 'technician',1
experience sharing from other cities,Coordination,high,matched 'experience sharing',1
expert capacity building,Capacity Building,high,'capacity build' over 'expert',1
expert consultation in project construction,Infrastructure,high,'construction' over 'expert',1
expert engagement in rural areas,Govt Management,high,matched 'expert',1
expert negligence,Govt Management,high,matched 'expert',1
expert responsibility,Govt Management,high,matched 'expert',1
expert skills,Govt Management,high,matched 'expert',1
expert training on solar systems,Capacity Building,medium,'training' over 'expert',1
expertise-position match for managers,Govt Management,high,matched 'expert',1
exposure to major rehabilitation costs,O&M,high,matched 'rehabilitat',1
extension worker capacity,Capacity Building,low,token-overlap fallback (7),1
external assistance,Govt / External Finance,high,matched 'external assistance',1
external financial support,Govt / External Finance,high,matched 'financial support',1
external financing,Govt / External Finance,high,matched 'financing',1
external intervention dependency,Govt / External Finance,low,token-overlap fallback (4),1
external management interference in WSPs,O&M,low,token-overlap fallback (6),1
external support mobilization,Govt / External Finance,high,'external support' over 'mobiliz',1
externally-initiated water project,Service Performance,low,token-overlap fallback (29),1
extreme weather events,Environmental,high,matched 'weather',1
facility access disputes,Infrastructure,high,matched 'facility',1
facility financial management and record keeping,Monitoring,high,'record keeping' over 'facility',1
facility financial sustainability,Sustainability,medium,'sustainab' over 'facility',1
facility monitoring,Monitoring,medium,'monitoring' over 'facility',1
facility operation,Infrastructure,high,matched 'facility',1
factory accountability,Monitoring,high,matched 'accountab',1
factory and business growth,Private Sector,high,matched 'business',1
factory and university liquid waste discharge,Service Performance,high,matched 'liquid waste',1
factory environmental compliance,Environmental,high,'environmental' over 'compliance',1
factory environmental pollution,Environmental,high,matched 'environmental',1
factory expansion,Infrastructure,high,matched 'expansion',1
factory growth,Planning,low,token-overlap fallback (3),1
factory liquid sewage,Service Performance,low,token-overlap fallback (2),1
factory liquid waste disposal,Service Performance,high,matched 'liquid waste',1
factory own water wells,Service Performance,low,token-overlap fallback (29),1
factory siting near water schemes,Planning,high,matched 'siting',1
factory treatment plants,Infrastructure,high,matched 'treatment plant',1
factory waste compliance,Laws + Regulations,high,matched 'compliance',1
factory waste discharge,Service Performance,low,token-overlap fallback (6),1
factory waste treatment compliance,Infrastructure,high,'waste treatment' over 'compliance',1
failure response coverage across districts,Service Performance,medium,'coverage' over 'district',1
fair distribution of water schemes,Service Performance,low,token-overlap fallback (29),1
fair government budget allocation,Govt / External Finance,high,'government budget' over 'government',1
farm use of spring water for plantation,Environmental,high,matched 'spring',1
farmer health,Community / Users,high,matched 'health',1
farmer health near dump site,Infrastructure,high,'dump site' over 'health',1
farmer incentive mechanism near disposal sites,Infrastructure,high,'disposal site' over 'incentive',1
farmer livelihood,Community / Users,high,matched 'livelihood',1
farmer wellbeing near dump site,Infrastructure,medium,'dump site' over 'wellbeing',1
farmer/pastoralist lifestyle,Community / Users,high,matched 'lifestyle',1
farmland pollution,Environmental,high,matched 'pollution',1
farmland waste dumping,Service Performance,low,token-overlap fallback (7),1
feasibility study,Planning,high,matched 'feasibility',1
feasibility study capacity,Planning,high,matched 'feasibility',1
feasibility study initiation,Planning,high,matched 'feasibility',1
federal government and NGO coordination,Laws + Regulations,high,'federal government' over 'government',1
federal procurement mandate control,Private Sector,high,'procurement' over 'mandate',1
federal program reporting compliance,Laws + Regulations,medium,'compliance' over 'reporting',1
federal/regional budget flow to zone,Govt / External Finance,high,'budget' over 'zone',1
fee collection,Community Finance,high,matched 'fee collection',1
feeder roads in remote areas,Community / Users,low,no match — defaulted to Community / Users,1
fertilizer for horticulture,Community / Users,high,matched 'culture',1
field coverage,Service Performance,high,matched 'coverage',1
field demonstrations of O&M,O&M,medium,matched 'o&m',1
field maintenance access,O&M,high,matched 'maintenance',1
field service coverage,Service Performance,high,matched 'service coverage',1
field staff shortage,Govt Management,medium,matched 'staff',1
field task delays,Community / Users,low,no match — defaulted to Community / Users,1
field work quality,Service Performance,low,token-overlap fallback (3),1
field-level coordination,Coordination,high,matched 'coordinat',1
field-level coordination mandate,Coordination,high,'coordinat' over 'mandate',1
filtered liquid waste,Service Performance,high,matched 'liquid waste',1
finance for monitoring,Monitoring,high,'monitoring' over 'finance',1
"finance from community, private actors and NGOs",Community / Users,medium,'community' over 'finance',1
finance office accountability,Monitoring,medium,'accountab' over 'finance',1
financial accountability for cash sales,Community Finance,high,'financial accountab' over 'accountab',1
financial accountability of management committees,Community Management,medium,'management committee' over 'financial accountab',1
financial accounting system,Govt / External Finance,low,token-overlap fallback (8),1
financial aid,Govt / External Finance,medium,matched 'aid',1
financial allocation,Govt / External Finance,low,token-overlap fallback (12),1
financial allocation to sub-county offices,Govt Management,high,matched 'sub-county',1
financial and human resource allocation for sanitation,Govt / External Finance,high,'resource allocation' over 'human resource',1
financial and technical capacity,Govt / External Finance,low,token-overlap fallback (9),1
financial and technical support for water services,Capacity Building,high,'technical support' over 'water service',1
financial assistance,Govt / External Finance,high,matched 'financial assistance',1
financial break-even of water scheme,Service Performance,low,token-overlap fallback (32),1
financial capacity development,Capacity Building,medium,'capacity development' over 'financial capacity',1
financial capacity for maintenance,Govt / External Finance,high,'financial capacity' over 'maintenance',1
financial capacity of urban administration,Govt / External Finance,high,'financial capacity' over 'administration',1
financial contribution for maintenance,O&M,high,matched 'maintenance',1
financial dependency of woreda administration,Govt Management,high,matched 'administration',1
financial disputes among committee members,Community Management,high,matched 'committee',1
financial embezzlement,Govt / External Finance,low,token-overlap fallback (8),1
financial forecasting,Planning,high,matched 'forecasting',1
financial gap reduction,Govt / External Finance,low,token-overlap fallback (8),1
financial inspection of schemes,Monitoring,high,matched 'inspection',1
financial management advice to committee,Community Management,high,matched 'committee',1
financial management capacity of committees,Community Management,high,matched 'committee',1
financial management of water service,Service Performance,high,matched 'water service',1
financial mismanagement control,Govt Management,high,matched 'mismanage',1
financial monitoring and reporting,Monitoring,high,matched 'monitoring',1
financial oversight of water revenue,Monitoring,medium,'oversight' over 'revenue',1
financial record keeping,Monitoring,high,matched 'record keeping',1
financial record keeping skills,Monitoring,high,matched 'record keeping',1
financial record-keeping,Monitoring,high,matched 'record-keeping',1
financial reporting at woreda level,Monitoring,high,'reporting' over 'woreda',1
financial reporting capability,Monitoring,high,matched 'reporting',1
financial reporting efficiency,Monitoring,high,matched 'reporting',1
financial reporting timeliness,Monitoring,high,matched 'reporting',1
financial resource capacity,Govt / External Finance,high,matched 'financial resource',1
financial resource constraints,Govt / External Finance,high,matched 'financial resource',1
financial resources for water service,Govt / External Finance,high,'financial resource' over 'water service',1
financial shortage,Govt / External Finance,high,matched 'financial shortage',1
financial source,Govt / External Finance,low,token-overlap fallback (11),1
financial support from stakeholders,Govt / External Finance,high,'financial support' over 'stakeholder',1
financial support from water fund office,Govt / External Finance,high,matched 'financial support',1
financial sustainability of water schemes,Sustainability,high,matched 'sustainab',1
financial sustainability of water service,Service Performance,high,'water service' over 'sustainab',1
"financial, technical and material aid from stakeholders",Coordination,high,'stakeholder' over 'aid',1
financing from county government and NGOs,Govt Management,medium,'government' over 'financing',1
financing issue resolution,Govt / External Finance,high,matched 'financing',1
fines and punishment for violations,Community / Users,low,no match — defaulted to Community / Users,1
flood risk,Environmental,medium,matched 'flood',1
flood sediment,Environmental,medium,matched 'flood',1
flood vulnerability,Environmental,medium,matched 'flood',1
flood-prone site location,Environmental,medium,matched 'flood',1
flooding,Environmental,high,matched 'flooding',1
fluoride and chemical contamination,Community / Users,high,matched 'contaminat',1
fluoride and salinity exposure,Environmental,high,matched 'salinity',1
fluoride concentration in groundwater,Environmental,high,matched 'groundwater',1
fluoride contamination,Community / Users,high,matched 'contaminat',1
fluoride content in boreholes,Infrastructure,high,matched 'borehole',1
fluoride content in groundwater,Environmental,high,matched 'groundwater',1
fluoride detection technology,Infrastructure,high,matched 'technology',1
fluoride removal capacity,Capacity Building,low,token-overlap fallback (7),1
fluoride treatment solutions,Infrastructure,low,token-overlap fallback (2),1
focal person accountability,Monitoring,high,matched 'accountab',1
focal persons in each office,Capacity Building,low,token-overlap fallback (3),1
focus on new infrastructure construction,Infrastructure,high,matched 'infrastructure',1
follow-up and monitoring,Monitoring,high,matched 'monitoring',1
follow-up budget in exit strategy,Monitoring,medium,'follow-up' over 'strategy',1
follow-up mechanism,Monitoring,high,matched 'follow-up',1
follow-up monitoring after training,Monitoring,medium,'monitoring' over 'training',1
food production,Community / Users,low,no match — defaulted to Community / Users,1
food waste management,Service Performance,high,matched 'waste management',1
forecasting future sanitation challenges,Planning,high,matched 'forecasting',1
formal GO-NGO WASH coordination mechanism,Coordination,high,matched 'coordinat',1
formal accountability mechanisms,Monitoring,high,matched 'accountab',1
formal communication on ongoing projects,Capacity Building,low,token-overlap fallback (2),1
formal governance structure,Govt Management,high,matched 'governance',1
formal information exchange between organizations,Coordination,low,token-overlap fallback (1),1
formal inter-sector meeting mechanism,Coordination,high,matched 'inter-sector',1
formal land agreements,Laws + Regulations,low,token-overlap fallback (6),1
formal land agreements knowledge,Laws + Regulations,low,token-overlap fallback (6),1
formal meetings and panel discussions,Community / Users,low,no match — defaulted to Community / Users,1
formal regulatory framework,Laws + Regulations,high,matched 'regulatory',1
formal waste disposal service cost,O&M,high,matched 'service cost',1
formal water company structure,Private Sector,high,matched 'company',1
formal water service provider management,Private Sector,high,'water service provider' over 'water service',1
forward-looking infrastructure design,Infrastructure,high,'infrastructure' over 'design',1
fragmented coordination system,Coordination,high,matched 'coordinat',1
fragmented institutional mandate,Laws + Regulations,high,matched 'mandate',1
fragmented water projects,Service Performance,low,token-overlap fallback (29),1
framework contract for supplies,Private Sector,low,token-overlap fallback (1),1
frequency of breakdown,Service Performance,high,matched 'breakdown',1
frequency of damage and breakage,Community / Users,low,no match — defaulted to Community / Users,1
frequency of scheme monitoring visits,Monitoring,high,matched 'monitoring',1
fresh water source identification,Service Performance,low,token-overlap fallback (29),1
frontline expert capacity and knowledge,Govt Management,high,matched 'expert',1
fuel adulteration,O&M,low,token-overlap fallback (1),1
fuel and diesel supply,Service Performance,low,token-overlap fallback (1),1
fuel and electricity cost,O&M,high,'electricity cost' over 'electricity',1
fuel availability,O&M,low,token-overlap fallback (1),1
fuel dependency,O&M,low,token-overlap fallback (1),1
fuel shortage,Service Performance,low,token-overlap fallback (1),1
fuel subsidy,Govt / External Finance,high,matched 'subsidy',1
fuel use,O&M,low,token-overlap fallback (1),1
fuel wood availability,O&M,low,token-overlap fallback (1),1
fuel wood demand,Community / Users,high,matched 'demand',1
fulfilment of office structure requirements,Govt Management,low,token-overlap fallback (3),1
full participation of actors,Community Management,high,matched 'participation',1
full septic tanks,Infrastructure,high,matched 'septic',1
functional coordination,Service Performance,high,'functional' over 'coordinat',1
functional garbage trucks,Service Performance,high,matched 'functional',1
functionality of water points,Service Performance,high,'functionality' over 'water point',1
fund acquisition for WASH projects,Govt / External Finance,low,token-overlap fallback (11),1
fund collection,Govt / External Finance,low,token-overlap fallback (12),1
fund management practices,Govt / External Finance,low,token-overlap fallback (11),1
fund management quality,Govt / External Finance,low,token-overlap fallback (11),1
fund misappropriation by committee members,Govt / External Finance,high,'fund misappropriat' over 'committee',1
fund misappropriation by management committee,Community Management,high,'management committee' over 'fund misappropriat',1
fund misappropriation by water user committees,Community Management,high,'water user committee' over 'fund misappropriat',1
fund mismanagement at scheme level,Govt / External Finance,high,'fund mismanage' over 'mismanage',1
fund misuse,Community / Users,high,matched 'misuse',1
fund misuse by committees,Community Management,high,'committee' over 'misuse',1
